,x,y,variable,value
588,499,496,DAISA,
589,490,601,DAISA,166.0
590,486,704,DAISA,
591,477,821,DAISA,
592,476,893,DAISA,
593,475,962,DAISA,167.0
594,589,961,DAISA,172.0
595,589,880,DAISA,169.0
596,589,788,DAISA,176.0
597,588,687,DAISA,171.0
598,588,574,DAISA,
599,595,490,DAISA,
600,588,377,DAISA,
601,592,255,DAISA,174.0
602,611,147,DAISA,
603,602,59,DAISA,
604,599,7,DAISA,
605,716,13,DAISA,
606,713,79,DAISA,174.0
607,708,163,DAISA,
608,710,257,DAISA,
609,702,375,DAISA,171.0
610,698,480,DAISA,
611,694,574,DAISA,
612,695,675,DAISA,
613,692,779,DAISA,
614,685,885,DAISA,171.0
615,676,961,DAISA,
616,811,958,DAISA,168.0
617,808,877,DAISA,
618,810,793,DAISA,
619,812,670,DAISA,166.0
620,808,561,DAISA,171.0
621,965,558,DAISA,
622,1089,567,DAISA,
623,809,465,DAISA,
624,808,349,DAISA,
625,820,255,DAISA,172.0
626,827,144,DAISA,169.0
627,826,74,DAISA,171.0
628,824,13,DAISA,168.0
629,964,18,DAISA,
630,971,85,DAISA,173.0
631,966,151,DAISA,
632,969,251,DAISA,167.0
633,970,360,DAISA,171.0
634,973,459,DAISA,
635,1094,21,DAISA,
636,1094,92,DAISA,174.0
637,1095,158,DAISA,173.0
638,1090,256,DAISA,
639,1088,357,DAISA,175.0
640,1084,448,DAISA,167.0
641,1218,451,DAISA,
642,1334,449,DAISA,171.0
643,1459,444,DAISA,
644,1566,445,DAISA,165.0
645,1677,444,DAISA,
646,1771,439,DAISA,
647,1765,525,DAISA,
648,1672,518,DAISA,169.0
649,1568,537,DAISA,
650,1448,537,DAISA,
651,1325,533,DAISA,166.0
652,1212,529,DAISA,
653,1148,611,DAISA,
654,1213,609,DAISA,
655,1329,616,DAISA,
656,1444,612,DAISA,
657,1570,614,DAISA,
658,1145,676,DAISA,165.0
659,1209,678,DAISA,
660,1324,694,DAISA,
661,1440,685,DAISA,
662,1574,690,DAISA,
663,1668,609,DAISA,
664,1759,607,DAISA,
665,1657,697,DAISA,
666,1755,689,DAISA,
667,1149,785,DAISA,
668,1214,778,DAISA,
669,1330,783,DAISA,
670,1443,769,DAISA,
671,1582,797,DAISA,
672,1670,804,DAISA,166.0
673,1766,803,DAISA,
674,1146,872,DAISA,
675,1147,953,DAISA,
676,1210,873,DAISA,165.0
677,1330,874,DAISA,167.0
678,1435,875,DAISA,
679,1579,888,DAISA,
680,1671,891,DAISA,
681,1767,893,DAISA,
682,1770,962,DAISA,
683,1677,961,DAISA,
684,1579,966,DAISA,
685,1434,957,DAISA,
686,1334,961,DAISA,
687,1222,956,DAISA,
688,1456,353,DAISA,
689,1334,355,DAISA,
690,1222,356,DAISA,
691,1141,360,DAISA,
692,1454,260,DAISA,
693,1329,249,DAISA,
694,1218,251,DAISA,
695,1669,154,DAISA,
696,1773,148,DAISA,
697,1145,253,DAISA,169.0
698,1144,155,DAISA,
699,1142,58,DAISA,
700,1220,162,DAISA,
701,1577,352,DAISA,
702,1676,304,DAISA,
703,1774,307,DAISA,
704,1771,248,DAISA,
705,1670,243,DAISA,166.0
706,1575,235,DAISA,
707,1331,165,DAISA,165.0
708,1214,55,DAISA,
709,1334,56,DAISA,
710,1450,160,DAISA,
711,1564,147,DAISA,
712,1448,55,DAISA,
713,1560,59,DAISA,
714,1658,57,DAISA,
715,1762,56,DAISA,
716,48,19,DAISA5GHZ,
717,41,82,DAISA5GHZ,
718,41,141,DAISA5GHZ,
719,40,205,DAISA5GHZ,168.0
720,40,303,DAISA5GHZ,
721,37,407,DAISA5GHZ,166.0
722,33,508,DAISA5GHZ,
723,38,629,DAISA5GHZ,171.0
724,38,728,DAISA5GHZ,163.0
725,40,866,DAISA5GHZ,
726,33,959,DAISA5GHZ,168.0
727,137,958,DAISA5GHZ,
728,135,857,DAISA5GHZ,
729,135,729,DAISA5GHZ,
730,139,639,DAISA5GHZ,
731,144,531,DAISA5GHZ,163.0
732,143,594,DAISA5GHZ,
733,32,582,DAISA5GHZ,167.0
734,141,415,DAISA5GHZ,
735,146,326,DAISA5GHZ,
736,148,178,DAISA5GHZ,
737,139,239,DAISA5GHZ,
738,146,89,DAISA5GHZ,
739,147,24,DAISA5GHZ,
740,282,16,DAISA5GHZ,
741,277,85,DAISA5GHZ,
742,273,159,DAISA5GHZ,166.0
743,274,244,DAISA5GHZ,166.0
744,274,351,DAISA5GHZ,
745,272,458,DAISA5GHZ,
746,269,588,DAISA5GHZ,
747,263,710,DAISA5GHZ,166.0
748,255,828,DAISA5GHZ,
749,242,909,DAISA5GHZ,
750,231,965,DAISA5GHZ,
751,357,957,DAISA5GHZ,
752,360,903,DAISA5GHZ,
753,360,819,DAISA5GHZ,
754,369,704,DAISA5GHZ,
755,367,605,DAISA5GHZ,
756,370,502,DAISA5GHZ,
757,389,394,DAISA5GHZ,
758,394,249,DAISA5GHZ,
759,391,153,DAISA5GHZ,
760,389,71,DAISA5GHZ,
761,391,12,DAISA5GHZ,
762,514,13,DAISA5GHZ,
763,502,67,DAISA5GHZ,
764,507,150,DAISA5GHZ,
765,504,251,DAISA5GHZ,
766,504,377,DAISA5GHZ,
767,499,496,DAISA5GHZ,
768,490,601,DAISA5GHZ,
769,486,704,DAISA5GHZ,
770,477,821,DAISA5GHZ,
771,476,893,DAISA5GHZ,
772,475,962,DAISA5GHZ,
