,x_m,y_m,variable,value
418,2.382089552238806,3.181182266009852,Amg,
419,2.382089552238806,2.6579310344827585,Amg,
420,2.4104477611940296,2.268965517241379,Amg,
421,2.382089552238806,1.7457142857142858,Amg,
422,2.3982942430703624,1.1807881773399014,Amg,
423,2.4752665245202556,0.6806896551724138,Amg,
424,2.4388059701492537,0.27320197044334976,Amg,
425,2.426652452025586,0.032413793103448274,Amg,
426,2.900639658848614,0.06019704433497537,Amg,
427,2.8884861407249462,0.3658128078817734,Amg,
428,2.868230277185501,0.7547783251231527,Amg,
429,2.876332622601279,1.1900492610837439,Amg,
430,2.843923240938166,1.7364532019704433,Amg,
431,2.8277185501066096,2.2226600985221676,Amg,
432,2.811513859275053,2.6579310344827585,Amg,
433,2.815565031982942,3.125615763546798,Amg,
434,2.803411513859275,3.607192118226601,Amg,
435,2.775053304904051,4.098029556650246,Amg,
436,2.7385927505330487,4.4499507389162565,Amg,
437,3.285501066098081,4.436059113300493,Amg,
438,3.273347547974413,4.060985221674877,Amg,
439,3.2814498933901914,3.6720197044334975,Amg,
440,3.2895522388059697,3.1024630541871923,Amg,
441,3.273347547974413,2.597733990147783,Amg,
442,3.909381663113006,2.58384236453202,Amg,
443,4.411727078891258,2.62551724137931,Amg,
444,3.2773987206823025,2.15320197044335,Amg,
445,3.273347547974413,1.6160591133004927,Amg,
446,3.3219616204690827,1.1807881773399014,Amg,
447,3.350319829424307,0.6667980295566502,Amg,
448,3.3462686567164175,0.3426600985221675,Amg,
449,3.3381663113006392,0.06019704433497537,Amg,
450,3.9053304904051167,0.08334975369458128,Amg,
451,3.933688699360341,0.3935960591133005,Amg,
452,3.913432835820895,0.6992118226600985,Amg,168.0
453,3.9255863539445626,1.1622660098522168,Amg,
454,3.9296375266524515,1.6669950738916257,Amg,
455,3.941791044776119,2.125418719211823,Amg,
456,4.431982942430703,0.09724137931034482,Amg,
457,4.431982942430703,0.42600985221674875,Amg,
458,4.436034115138592,0.7316256157635468,Amg,169.0
459,4.415778251599146,1.1854187192118226,Amg,
460,4.407675906183369,1.653103448275862,Amg,
461,4.391471215351812,2.0744827586206895,Amg,
462,4.934328358208955,2.0883743842364533,Amg,174.0
463,5.404264392324094,2.079113300492611,Amg,
464,5.910660980810234,2.055960591133005,Amg,168.0
465,6.34413646055437,2.0605911330049262,Amg,172.0
466,6.793816631130063,2.055960591133005,Amg,
467,7.174626865671641,2.032807881773399,Amg,
468,7.150319829424307,2.4310344827586206,Amg,
469,6.7735607675906175,2.3986206896551723,Amg,
470,6.352238805970148,2.486600985221675,Amg,166.0
471,5.866098081023454,2.486600985221675,Amg,166.0
472,5.367803837953091,2.46807881773399,Amg,
473,4.9100213219616196,2.4495566502463055,Amg,
474,4.650746268656716,2.8292610837438423,Amg,
475,4.914072494669509,2.82,Amg,
476,5.384008528784648,2.852413793103448,Amg,166.0
477,5.849893390191897,2.8338916256157636,Amg,169.0
478,6.360341151385927,2.843152709359606,Amg,
479,4.638592750533048,3.1302463054187193,Amg,
480,4.897867803837952,3.139507389162562,Amg,
481,5.363752665245202,3.2135960591133004,Amg,
482,5.833688699360341,3.17192118226601,Amg,
483,6.376545842217483,3.195073891625616,Amg,
484,6.757356076759061,2.82,Amg,
485,7.1260127931769714,2.810738916256158,Amg,
486,6.712793176972281,3.227487684729064,Amg,
487,7.109808102345415,3.1904433497536946,Amg,
488,4.654797441364605,3.634975369458128,Amg,
489,4.918123667377398,3.6025615763546797,Amg,
490,5.388059701492537,3.625714285714286,Amg,
491,5.845842217484008,3.5608866995073893,Amg,
492,6.4089552238805965,3.6905418719211824,Amg,
493,6.76545842217484,3.7229556650246307,Amg,
494,7.154371002132195,3.7183251231527095,Amg,
495,4.6426439232409376,4.037832512315271,Amg,
496,4.646695095948827,4.4129064039408865,Amg,
497,4.901918976545842,4.042463054187192,Amg,
498,5.388059701492537,4.0470935960591135,Amg,
499,5.813432835820895,4.051724137931035,Amg,
500,6.396801705756929,4.11192118226601,Amg,
501,6.769509594882728,4.125812807881774,Amg,
502,7.1584221748400845,4.135073891625615,Amg,
503,7.170575692963752,4.454581280788178,Amg,
504,6.793816631130063,4.4499507389162565,Amg,
505,6.396801705756929,4.473103448275862,Amg,
506,5.8093816631130055,4.4314285714285715,Amg,
507,5.404264392324094,4.4499507389162565,Amg,
508,4.950533049040511,4.42679802955665,Amg,
509,5.898507462686567,1.6345812807881774,Amg,
510,5.404264392324094,1.6438423645320197,Amg,
511,4.950533049040511,1.648472906403941,Amg,
512,4.622388059701492,1.6669950738916257,Amg,
513,5.890405117270788,1.2039408866995074,Amg,
514,5.384008528784648,1.1530049261083744,Amg,
515,4.934328358208955,1.1622660098522168,Amg,
516,6.76140724946695,0.713103448275862,Amg,
517,7.18272921108742,0.685320197044335,Amg,
518,4.638592750533048,1.171527093596059,Amg,
519,4.63454157782516,0.7177339901477833,Amg,
520,4.626439232409381,0.26857142857142857,Amg,
521,4.942430703624733,0.7501477832512315,Amg,
522,6.388699360341151,1.6299507389162562,Amg,
523,6.789765458422174,1.4076847290640393,Amg,
524,7.186780383795308,1.421576354679803,Amg,
525,7.174626865671641,1.148374384236453,Amg,
526,6.76545842217484,1.1252216748768473,Amg,
527,6.380597014925373,1.0881773399014778,Amg,
528,5.392110874200426,0.7640394088669951,Amg,
529,4.918123667377398,0.254679802955665,Amg,
530,5.404264392324094,0.2593103448275862,Amg,
531,5.874200426439232,0.7408866995073892,Amg,
532,6.336034115138592,0.6806896551724138,Amg,
533,5.866098081023454,0.254679802955665,Amg,
534,6.319829424307035,0.27320197044334976,Amg,
535,6.71684434968017,0.2639408866995074,Amg,
536,7.138166311300639,0.2593103448275862,Amg,
537,0.19445628997867803,0.08798029556650246,DAISA,
538,0.16609808102345414,0.37970443349753696,DAISA,
